"","term","gene","human"
"2588","Nusse_Regeneration","Arl5c","ARL5C"
"2589","Nusse_Regeneration","Apol10b","APOL10B"
"2590","Nusse_Regeneration","Iigp1","IIGP1"
"2591","Nusse_Regeneration","Retnlb","RETNLB"
"2592","Nusse_Regeneration","Tgtp1","TGTP1"
"2593","Nusse_Regeneration","Art2a-ps","ART2A-PS"
"2594","Nusse_Regeneration","Slc5a5","SLC5A5"
"2595","Nusse_Regeneration","Atg9b","ATG9B"
"2596","Nusse_Regeneration","Hspa1a","HSPA1A"
"2597","Nusse_Regeneration","Fut2","FUT2"
"2598","Nusse_Regeneration","Adm","ADM"
"2599","Nusse_Regeneration","4930461G14Rik","4930461G14RIK"
"2600","Nusse_Regeneration","Mx1","MX1"
"2601","Nusse_Regeneration","Cxcl9","CXCL9"
"2602","Nusse_Regeneration","Nptx2","NPTX2"
"2603","Nusse_Regeneration","Wtip","WTIP"
"2604","Nusse_Regeneration","Isg15","ISG15"
"2605","Nusse_Regeneration","Gbp5","GBP5"
"2606","Nusse_Regeneration","Trib3","TRIB3"
"2607","Nusse_Regeneration","Jdp2","JDP2"
"2608","Nusse_Regeneration","Igtp","IGTP"
"2609","Nusse_Regeneration","Gbp2","GBP2"
"2610","Nusse_Regeneration","Phf11d","PHF11D"
"2611","Nusse_Regeneration","Areg","AREG"
"2612","Nusse_Regeneration","Gbp3","GBP3"
"2613","Nusse_Regeneration","Hspa1b","HSPA1B"
"2614","Nusse_Regeneration","Spats2l","SPATS2L"
"2615","Nusse_Regeneration","Ccdc88b","CCDC88B"
"2616","Nusse_Regeneration","S100a6","S100A6"
"2617","Nusse_Regeneration","Pear1","PEAR1"
"2618","Nusse_Regeneration","Sh3kbp1","SH3KBP1"
"2619","Nusse_Regeneration","Zbp1","ZBP1"
"2620","Nusse_Regeneration","Il33","IL33"
"2621","Nusse_Regeneration","Chac1","CHAC1"
"2622","Nusse_Regeneration","Slc7a11","SLC7A11"
"2623","Nusse_Regeneration","Inf2","INF2"
"2624","Nusse_Regeneration","S100a14","S100A14"
"2625","Nusse_Regeneration","Gm12250","GM12250"
"2626","Nusse_Regeneration","Pdlim7","PDLIM7"
"2627","Nusse_Regeneration","Gm12185","GM12185"
"2628","Nusse_Regeneration","Icam1","ICAM1"
"2629","Nusse_Regeneration","Nlrc5","NLRC5"
"2630","Nusse_Regeneration","Tead4","TEAD4"
"2631","Nusse_Regeneration","B3galt5","B3GALT5"
"2632","Nusse_Regeneration","Slc43a1","SLC43A1"
"2633","Nusse_Regeneration","Gcg","GCG"
"2634","Nusse_Regeneration","Hmox1","HMOX1"
"2635","Nusse_Regeneration","Gbp6","GBP6"
"2636","Nusse_Regeneration","Dusp1","DUSP1"
"2637","Nusse_Regeneration","Gbp7","GBP7"
"2638","Nusse_Regeneration","H2-DMb1","H2-DMB1"
"2639","Nusse_Regeneration","Ecscr","ECSCR"
"2640","Nusse_Regeneration","Usp18","USP18"
"2641","Nusse_Regeneration","mt-Tc","MT-TC"
"2642","Nusse_Regeneration","Syt11","SYT11"
"2643","Nusse_Regeneration","H2-Q6","H2-Q6"
"2644","Nusse_Regeneration","Tgtp2","TGTP2"
"2645","Nusse_Regeneration","Ifit1","IFIT1"
"2646","Nusse_Regeneration","Plekhd1","PLEKHD1"
"2647","Nusse_Regeneration","Sulf2","SULF2"
"2648","Nusse_Regeneration","Arntl2","ARNTL2"
"2649","Nusse_Regeneration","Ttyh1","TTYH1"
"2650","Nusse_Regeneration","H2-Q5","H2-Q5"
"2651","Nusse_Regeneration","Slc45a3","SLC45A3"
"2652","Nusse_Regeneration","Socs3","SOCS3"
"2653","Nusse_Regeneration","Duoxa2","DUOXA2"
"2654","Nusse_Regeneration","Prss16","PRSS16"
"2655","Nusse_Regeneration","Il18bp","IL18BP"
"2656","Nusse_Regeneration","Scd1","SCD1"
"2657","Nusse_Regeneration","Bst2","BST2"
"2658","Nusse_Regeneration","Oasl1","OASL1"
"2659","Nusse_Regeneration","Spta1","SPTA1"
"2660","Nusse_Regeneration","Mt2","MT2"
"2661","Nusse_Regeneration","H2-Aa","H2-AA"
"2662","Nusse_Regeneration","H2-Q7","H2-Q7"
"2663","Nusse_Regeneration","Tnfsf9","TNFSF9"
"2664","Nusse_Regeneration","Hk1","HK1"
"2665","Nusse_Regeneration","Slc17a9","SLC17A9"
"2666","Nusse_Regeneration","Mboat1","MBOAT1"
"2667","Nusse_Regeneration","Mx2","MX2"
"2668","Nusse_Regeneration","Oas3","OAS3"
"2669","Nusse_Regeneration","Slfn2","SLFN2"
"2670","Nusse_Regeneration","Apobec2","APOBEC2"
"2671","Nusse_Regeneration","Gsdmcl-ps","GSDMCL-PS"
"2672","Nusse_Regeneration","Sprr2a3","SPRR2A3"
"2673","Nusse_Regeneration","Ak4","AK4"
"2674","Nusse_Regeneration","H2-Eb1","H2-EB1"
"2675","Nusse_Regeneration","Ciita","CIITA"
"2676","Nusse_Regeneration","Rhof","RHOF"
"2677","Nusse_Regeneration","Slc16a3","SLC16A3"
"2678","Nusse_Regeneration","Slfn4","SLFN4"
"2679","Nusse_Regeneration","Duoxa1","DUOXA1"
"2680","Nusse_Regeneration","Sema6b","SEMA6B"
"2681","Nusse_Regeneration","Fkbp11","FKBP11"
"2682","Nusse_Regeneration","E130012A19Rik","E130012A19RIK"
"2683","Nusse_Regeneration","Ifi44","IFI44"
"2684","Nusse_Regeneration","Stxbp1","STXBP1"
"2685","Nusse_Regeneration","Tac1","TAC1"
"2686","Nusse_Regeneration","Oas1g","OAS1G"
"2687","Nusse_Regeneration","Serpinb5","SERPINB5"
"2688","Nusse_Regeneration","Cd74","CD74"
"2689","Nusse_Regeneration","Irgm2","IRGM2"
"2690","Nusse_Regeneration","Capn2","CAPN2"
"2691","Nusse_Regeneration","Tmem173","TMEM173"
"2692","Nusse_Regeneration","Gm14446","GM14446"
"2693","Nusse_Regeneration","H2-Ab1","H2-AB1"
"2694","Nusse_Regeneration","Kcnk6","KCNK6"
"2695","Nusse_Regeneration","Pla2g2f","PLA2G2F"
"2696","Nusse_Regeneration","Phlda2","PHLDA2"
"2697","Nusse_Regeneration","Anxa9","ANXA9"
"2698","Nusse_Regeneration","Gadd45g","GADD45G"
"2699","Nusse_Regeneration","Lpcat4","LPCAT4"
"2700","Nusse_Regeneration","Plk3","PLK3"
"2701","Nusse_Regeneration","Stat2","STAT2"
"2702","Nusse_Regeneration","Tspan4","TSPAN4"
"2703","Nusse_Regeneration","Nfkbid","NFKBID"
"2704","Nusse_Regeneration","Irf7","IRF7"
"2705","Nusse_Regeneration","Tap1","TAP1"
"2706","Nusse_Regeneration","Gsta3","GSTA3"
"2707","Nusse_Regeneration","Nlgn2","NLGN2"
"2708","Nusse_Regeneration","Oasl2","OASL2"
"2709","Nusse_Regeneration","Pou2f3","POU2F3"
"2710","Nusse_Regeneration","Bend7","BEND7"
"2711","Nusse_Regeneration","Trpm5","TRPM5"
"2712","Nusse_Regeneration","Ttr","TTR"
"2713","Nusse_Regeneration","Tspan6","TSPAN6"
"2714","Nusse_Regeneration","Eldr","ELDR"
"2715","Nusse_Regeneration","Cnnm1","CNNM1"
"2716","Nusse_Regeneration","Ghr","GHR"
"2717","Nusse_Regeneration","Fmo4","FMO4"
"2718","Nusse_Regeneration","Tcea3","TCEA3"
"2719","Nusse_Regeneration","Dpep1","DPEP1"
"2720","Nusse_Regeneration","Pcsk6","PCSK6"
"2721","Nusse_Regeneration","Hsd11b2","HSD11B2"
"2722","Nusse_Regeneration","Klhl24","KLHL24"
"2723","Nusse_Regeneration","Aadac","AADAC"
"2724","Nusse_Regeneration","Itih5","ITIH5"
"2725","Nusse_Regeneration","Fzd2","FZD2"
"2726","Nusse_Regeneration","Hacl1","HACL1"
"2727","Nusse_Regeneration","Pm20d1","PM20D1"
"2728","Nusse_Regeneration","Aoc1","AOC1"
"2729","Nusse_Regeneration","Esrrg","ESRRG"
"2730","Nusse_Regeneration","Spib","SPIB"
"2731","Nusse_Regeneration","Ephx2","EPHX2"
"2732","Nusse_Regeneration","Zfp395","ZFP395"
"2733","Nusse_Regeneration","Vegfc","VEGFC"
"2734","Nusse_Regeneration","Maf","MAF"
"2735","Nusse_Regeneration","Crebrf","CREBRF"
"2736","Nusse_Regeneration","Rps6ka5","RPS6KA5"
"2737","Nusse_Regeneration","Dach1","DACH1"
"2738","Nusse_Regeneration","AI480526","AI480526"
"2739","Nusse_Regeneration","Chrm3","CHRM3"
"2740","Nusse_Regeneration","Slc51a","SLC51A"
"2741","Nusse_Regeneration","Mertk","MERTK"
"2742","Nusse_Regeneration","Gabre","GABRE"
"2743","Nusse_Regeneration","Fam213b","FAM213B"
"2744","Nusse_Regeneration","Aqp1","AQP1"
"2745","Nusse_Regeneration","Zbtb20","ZBTB20"
"2746","Nusse_Regeneration","Nr2e3","NR2E3"
"2747","Nusse_Regeneration","Clca2","CLCA2"
"2748","Nusse_Regeneration","Pdcd4","PDCD4"
"2749","Nusse_Regeneration","Asah2","ASAH2"
"2750","Nusse_Regeneration","Adck3","ADCK3"
"2751","Nusse_Regeneration","Gstm2","GSTM2"
"2752","Nusse_Regeneration","Ccl25","CCL25"
"2753","Nusse_Regeneration","Ms4a10","MS4A10"
"2754","Nusse_Regeneration","Ugt2b36","UGT2B36"
"2755","Nusse_Regeneration","Gpr133","GPR133"
"2756","Nusse_Regeneration","Rgs13","RGS13"
"2757","Nusse_Regeneration","0610005C13Rik","0610005C13RIK"
"2758","Nusse_Regeneration","Ces1e","CES1E"
"2759","Nusse_Regeneration","Pros1","PROS1"
"2760","Nusse_Regeneration","AI747448","AI747448"
"2761","Nusse_Regeneration","Lrat","LRAT"
"2762","Nusse_Regeneration","Hsd17b6","HSD17B6"
"2763","Nusse_Regeneration","Gstm3","GSTM3"
"2764","Nusse_Regeneration","Cap2","CAP2"
"2765","Nusse_Regeneration","Tmem117","TMEM117"
"2766","Nusse_Regeneration","Gab1","GAB1"
"2767","Nusse_Regeneration","Fam78a","FAM78A"
"2768","Nusse_Regeneration","Synpo","SYNPO"
"2769","Nusse_Regeneration","Slc25a45","SLC25A45"
"2770","Nusse_Regeneration","Prss12","PRSS12"
"2771","Nusse_Regeneration","Reg3a","REG3A"
"2772","Nusse_Regeneration","Slc15a1","SLC15A1"
"2773","Nusse_Regeneration","Plbd1","PLBD1"
"2774","Nusse_Regeneration","Akr1c14","AKR1C14"
"2775","Nusse_Regeneration","Spink3","SPINK3"
"2776","Nusse_Regeneration","Malrd1","MALRD1"
"2777","Nusse_Regeneration","Fam49a","FAM49A"
"2778","Nusse_Regeneration","Ros1","ROS1"
"2779","Nusse_Regeneration","Ace","ACE"
"2780","Nusse_Regeneration","Fabp1","FABP1"
"2781","Nusse_Regeneration","Clec2e","CLEC2E"
"2782","Nusse_Regeneration","Slc6a20a","SLC6A20A"
"2783","Nusse_Regeneration","Trim30d","TRIM30D"
"2784","Nusse_Regeneration","Hemgn","HEMGN"
"2785","Nusse_Regeneration","Fmo5","FMO5"
"2786","Nusse_Regeneration","Mep1a","MEP1A"
"2787","Nusse_Regeneration","Akr1b7","AKR1B7"
"2788","Nusse_Regeneration","Sypl2","SYPL2"
"2789","Nusse_Regeneration","Sult1d1","SULT1D1"
"2790","Nusse_Regeneration","Dpyd","DPYD"
"2791","Nusse_Regeneration","Slc28a1","SLC28A1"
"2792","Nusse_Regeneration","Cyp2c68","CYP2C68"
"2793","Nusse_Regeneration","Tfpi","TFPI"
"2794","Nusse_Regeneration","Ces2a","CES2A"
"2795","Nusse_Regeneration","N4bp2l1","N4BP2L1"
"2796","Nusse_Regeneration","Aldh1a1","ALDH1A1"
"2797","Nusse_Regeneration","Tmem86a","TMEM86A"
"2798","Nusse_Regeneration","Peli2","PELI2"
"2799","Nusse_Regeneration","Dab1","DAB1"
"2800","Nusse_Regeneration","Acvr1c","ACVR1C"
"2801","Nusse_Regeneration","Naaladl1","NAALADL1"
"2802","Nusse_Regeneration","Fras1","FRAS1"
"2803","Nusse_Regeneration","Adh6a","ADH6A"
"2804","Nusse_Regeneration","Slc4a5","SLC4A5"
"2805","Nusse_Regeneration","Ace2","ACE2"
"2806","Nusse_Regeneration","Gm8989","GM8989"
"2807","Nusse_Regeneration","Nrn1","NRN1"
"2808","Nusse_Regeneration","Ugt1a1","UGT1A1"
"2809","Nusse_Regeneration","Lgr5","LGR5"
"2810","Nusse_Regeneration","Sult1b1","SULT1B1"
"2811","Nusse_Regeneration","Adh4","ADH4"
"2812","Nusse_Regeneration","Wipf3","WIPF3"
"2813","Nusse_Regeneration","Paqr7","PAQR7"
"2814","Nusse_Regeneration","Apoc3","APOC3"
"2815","Nusse_Regeneration","Ugt2a3","UGT2A3"
"2816","Nusse_Regeneration","Gm15315","GM15315"
"2817","Nusse_Regeneration","Pyroxd2","PYROXD2"
"2818","Nusse_Regeneration","Cyp4v3","CYP4V3"
"2819","Nusse_Regeneration","Ccbe1","CCBE1"
"2820","Nusse_Regeneration","Gm10499","GM10499"
"2821","Nusse_Regeneration","Fbp1","FBP1"
"2822","Nusse_Regeneration","Ces1d","CES1D"
"2823","Nusse_Regeneration","Anpep","ANPEP"
"2824","Nusse_Regeneration","Acer1","ACER1"
"2825","Nusse_Regeneration","Adh1","ADH1"
"2826","Nusse_Regeneration","Enpep","ENPEP"
"2827","Nusse_Regeneration","Cyp2c55","CYP2C55"
"2828","Nusse_Regeneration","Slc14a1","SLC14A1"
"2829","Nusse_Regeneration","Cyp2c66","CYP2C66"
"2830","Nusse_Regeneration","Arg2","ARG2"
"2831","Nusse_Regeneration","Rdh7","RDH7"
"2832","Nusse_Regeneration","Maob","MAOB"
"2833","Nusse_Regeneration","Cyp3a25","CYP3A25"
"2834","Nusse_Regeneration","Ces1f","CES1F"
"2835","Nusse_Regeneration","Lct","LCT"
"2836","Nusse_Regeneration","2010106E10Rik","2010106E10RIK"
"2837","Nusse_Regeneration","Mptx2","MPTX2"
"2838","Nusse_Regeneration","Defa17","DEFA17"
"2839","Nusse_Regeneration","Mme","MME"
"2840","Nusse_Regeneration","Defa24","DEFA24"
"2841","Nusse_Regeneration","Hmgcs2","HMGCS2"
"2842","Nusse_Regeneration","Cyp2b10","CYP2B10"
"2843","Nusse_Regeneration","Defa22","DEFA22"
"2844","Nusse_Regeneration","Defa5","DEFA5"
"2845","Nusse_Regeneration","Defa3","DEFA3"
"2846","Nusse_Regeneration","Gm15292","GM15292"
"2847","Nusse_Regeneration","Cyp3a11","CYP3A11"
"2848","Nusse_Regeneration","Defa-rs1","DEFA-RS1"
"2849","Nusse_Regeneration","Gm15284","GM15284"
"2850","Nusse_Regeneration","Sfrp5","SFRP5"
"2851","Nusse_Regeneration","Gm14851","GM14851"
"2852","Nusse_Regeneration","Defa21","DEFA21"
"2853","Nusse_Regeneration","AY761184","AY761184"
"2854","Nusse_Regeneration","Defa26","DEFA26"
"2855","Mustata_Fetal","Spp1","SPP1"
"2856","Mustata_Fetal","Gja1","GJA1"
"2857","Mustata_Fetal","Ctgf","CTGF"
"2858","Mustata_Fetal","Basp1","BASP1"
"2859","Mustata_Fetal","Tacstd2","TACSTD2"
"2860","Mustata_Fetal","Car2","CAR2"
"2861","Mustata_Fetal","Sftpd","SFTPD"
"2862","Mustata_Fetal","Mal","MAL"
"2863","Mustata_Fetal","Clu","CLU"
"2864","Mustata_Fetal","Wfdc2","WFDC2"
"2865","Mustata_Fetal","Msln","MSLN"
"2866","Mustata_Fetal","Vsig1","VSIG1"
"2867","Mustata_Fetal","Expi","EXPI"
"2868","Mustata_Fetal","Tubb6","TUBB6"
"2869","Mustata_Fetal","Ly6a","LY6A"
"2870","Mustata_Fetal","Syt14l","SYT14L"
"2871","Mustata_Fetal","Crip2","CRIP2"
"2872","Mustata_Fetal","Anxa1","ANXA1"
"2873","Mustata_Fetal","Col4a1","COL4A1"
"2874","Mustata_Fetal","Il33","IL33"
"2875","Mustata_Fetal","Ly6f","LY6F"
"2876","Mustata_Fetal","Sprr1a","SPRR1A"
"2877","Mustata_Fetal","Lor","LOR"
"2878","Mustata_Fetal","Col4a2","COL4A2"
"2879","Mustata_Fetal","Krt4","KRT4"
"2880","Mustata_Fetal","Igfbp7","IGFBP7"
"2881","Mustata_Fetal","Akap13","AKAP13"
"2882","Mustata_Fetal","Sptssb","SPTSSB"
"2883","Mustata_Fetal","Ecscr","ECSCR"
"2884","Mustata_Fetal","Ivl","IVL"
"2885","Mustata_Fetal","Gkn1","GKN1"
"2886","Mustata_Fetal","Akr1b8","AKR1B8"
"2887","Mustata_Fetal","Cdh13","CDH13"
"2888","Mustata_Fetal","Slc45a3","SLC45A3"
"2889","Mustata_Fetal","Efna5","EFNA5"
"2890","Mustata_Fetal","Anxa8","ANXA8"
"2891","Mustata_Fetal","1700007K13Rik","1700007K13RIK"
"2892","Mustata_Fetal","Acsm3","ACSM3"
"2893","Mustata_Fetal","Ppic","PPIC"
"2894","Mustata_Fetal","Anxa3","ANXA3"
"2895","Mustata_Fetal","Eda2r","EDA2R"
"2896","Mustata_Fetal","S100a6","S100A6"
"2897","Mustata_Fetal","Ldh2","LDH2"
"2898","Mustata_Fetal","Ly6c","LY6C"
"2899","Mustata_Fetal","Efemp1","EFEMP1"
"2900","Mustata_Fetal","Ddit4l","DDIT4L"
"2901","Mustata_Fetal","Pdzk1ip1","PDZK1IP1"
"2902","Mustata_Fetal","Ly6d","LY6D"
"2903","Mustata_Fetal","2310002J15Rik","2310002J15RIK"
"2904","Mustata_Fetal","Cugbp2","CUGBP2"
"2905","Mustata_Fetal","Laptm5","LAPTM5"
"2906","Mustata_Fetal","Plekhs1","PLEKHS1"
"2907","Mustata_Fetal","Dscr6","DSCR6"
"2908","Mustata_Fetal","Hs6st2","HS6ST2"
"2909","Mustata_Fetal","Slc4a11","SLC4A11"
"2910","Mustata_Fetal","AI467606","AI467606"
"2911","Mustata_Fetal","Cryab","CRYAB"
"2912","Mustata_Fetal","Sh3kbp1","SH3KBP1"
"2913","Mustata_Fetal","Samd5","SAMD5"
"2914","Mustata_Fetal","Phlda3","PHLDA3"
"2915","Mustata_Fetal","Krt7","KRT7"
"2916","Mustata_Fetal","Il1rn","IL1RN"
"2917","Mustata_Fetal","Ccnd1","CCND1"
"2918","Mustata_Fetal","Fut2","FUT2"
"2919","Mustata_Fetal","Serpinb9b","SERPINB9B"
"2920","Mustata_Fetal","Plaur","PLAUR"
"2921","Mustata_Fetal","Prtf","PRTF"
"2922","Mustata_Fetal","Syt8","SYT8"
"2923","Mustata_Fetal","Tmem40","TMEM40"
"2924","Mustata_Fetal","5830408B19Rik","5830408B19RIK"
"2925","Mustata_Fetal","Ptp4a3","PTP4A3"
"2926","Mustata_Fetal","Gpx2","GPX2"
"2927","Mustata_Fetal","Psapl1","PSAPL1"
"2928","Mustata_Fetal","Fer1l3","FER1L3"
"2929","Mustata_Fetal","Zfp365","ZFP365"
"2930","Mustata_Fetal","S100a11","S100A11"
"2931","Mustata_Fetal","Psca","PSCA"
"2932","Mustata_Fetal","Oas1f","OAS1F"
"2933","Mustata_Fetal","Sox21","SOX21"
"2934","Mustata_Fetal","Fabp5","FABP5"
"2935","Mustata_Fetal","Col18a1","COL18A1"
"2936","Mustata_Fetal","Cd14","CD14"
"2937","Mustata_Fetal","Pmm1","PMM1"
"2938","Mustata_Fetal","Plk2","PLK2"
"2939","Mustata_Fetal","Clic3","CLIC3"
"2940","Mustata_Fetal","Ncmap","NCMAP"
"2941","Mustata_Fetal","Ereg","EREG"
"2942","Mustata_Fetal","Icam1","ICAM1"
"2943","Mustata_Fetal","Fxyd3","FXYD3"
"2944","Mustata_Fetal","Ccng1","CCNG1"
"2945","Mustata_Fetal","Rbms1","RBMS1"
"2946","Mustata_Fetal","Bmp8b","BMP8B"
"2947","Mustata_Fetal","Mgat4c","MGAT4C"
"2948","Mustata_Fetal","Rdh10","RDH10"
"2949","Mustata_Fetal","Enah","ENAH"
"2950","Mustata_Fetal","Vnn1","VNN1"
"2951","Mustata_Fetal","Epha4","EPHA4"
"2952","Mustata_Fetal","Pdlim4","PDLIM4"
"2953","Mustata_Fetal","Ggta1","GGTA1"
"2954","Mustata_Fetal","Tnni2","TNNI2"
"2955","Mustata_Fetal","Ier3","IER3"
"2956","Mustata_Fetal","Glipr1","GLIPR1"
"2957","Mustata_Fetal","Il17re","IL17RE"
"2958","Mustata_Fetal","Tmem34","TMEM34"
"2959","Mustata_Fetal","S100A7A","S100A7A"
"2960","Mustata_Fetal","Mcpt2","MCPT2"
"2961","Mustata_Fetal","Suox","SUOX"
"2962","Mustata_Fetal","Prss22","PRSS22"
"2963","Mustata_Fetal","Tspan6","TSPAN6"
"2964","Mustata_Fetal","Abcb1b","ABCB1B"
"2965","Mustata_Fetal","Tns4","TNS4"
"2966","Mustata_Fetal","S100a14","S100A14"
"2967","Mustata_Fetal","Lamc2","LAMC2"
"2968","Mustata_Fetal","Jub","JUB"
"2969","Mustata_Fetal","Ecm1","ECM1"
"2970","Mustata_Fetal","Scel","SCEL"
"2971","Mustata_Fetal","Fam198b","FAM198B"
"2972","Mustata_Fetal","Osbpl5","OSBPL5"
"2973","Mustata_Fetal","Tlr4","TLR4"
"2974","Mustata_Fetal","Timp2","TIMP2"
"2975","Mustata_Fetal","Trex2","TREX2"
"2976","Mustata_Fetal","Gatm","GATM"
"2977","Mustata_Fetal","Zic4","ZIC4"
"2978","Mustata_Fetal","Arl4c","ARL4C"
"2979","Mustata_Fetal","Wwtr1","WWTR1"
"2980","Mustata_Fetal","Aqp5","AQP5"
"2981","Mustata_Fetal","Capn2","CAPN2"
"2982","Mustata_Fetal","Ccp110","CCP110"
"2983","Mustata_Fetal","Emp2","EMP2"
"2984","Mustata_Fetal","4833427G06Rik","4833427G06RIK"
"2985","Mustata_Fetal","Abcc4","ABCC4"
"2986","Mustata_Fetal","Mtap6","MTAP6"
"2987","Mustata_Fetal","Hyal1","HYAL1"
"2988","Mustata_Fetal","Ift57","IFT57"
"2989","Mustata_Fetal","Serpinb6b","SERPINB6B"
"2990","Mustata_Fetal","Slc25a48","SLC25A48"
"2991","Mustata_Fetal","Psrc1","PSRC1"
"2992","Mustata_Fetal","Slc44a2","SLC44A2"
"2993","Mustata_Fetal","5730416F02Rik","5730416F02RIK"
"2994","Mustata_Fetal","Hspa1b","HSPA1B"
"2995","Mustata_Fetal","Ppl","PPL"
"2996","Mustata_Fetal","Mgmt","MGMT"
"2997","Mustata_Fetal","Cd68","CD68"
"2998","Mustata_Fetal","Cxcl16","CXCL16"
"2999","Mustata_Fetal","P2ry6","P2RY6"
"3000","Mustata_Fetal","Ddah1","DDAH1"
"3001","Mustata_Fetal","Pmepa1","PMEPA1"
"3002","Mustata_Fetal","Gcnt1","GCNT1"
"3003","Mustata_Fetal","Cgnl1","CGNL1"
"3004","Mustata_Fetal","Emp1","EMP1"
"3005","Mustata_Fetal","Prl2c3","PRL2C3"
"3006","Mustata_Fetal","Bok","BOK"
"3007","Mustata_Fetal","Ildr1","ILDR1"
"3008","Mustata_Fetal","1110028F11Rik","1110028F11RIK"
"3009","Mustata_Fetal","Plf","PLF"
"3010","Mustata_Fetal","Arhgef4","ARHGEF4"
"3011","Mustata_Fetal","Arhgef3","ARHGEF3"
"3012","Mustata_Fetal","Msn","MSN"
"3013","Mustata_Fetal","Dcxr","DCXR"
"3014","Mustata_Fetal","Spata6","SPATA6"
"3015","Mustata_Fetal","Arhgap44","ARHGAP44"
"3016","Mustata_Fetal","Rgs19","RGS19"
"3017","Mustata_Fetal","Noxo1","NOXO1"
"3018","Mustata_Fetal","Vangl1","VANGL1"
"3019","Mustata_Fetal","S100a4","S100A4"
"3020","Mustata_Fetal","Tspan4","TSPAN4"
"3021","Mustata_Fetal","Gpr137b","GPR137B"
"3022","Mustata_Fetal","Ccnd2","CCND2"
"3023","Mustata_Fetal","Ttc9","TTC9"
"3024","Mustata_Fetal","Pdrg1","PDRG1"
"3025","Mustata_Fetal","Vamp5","VAMP5"
"3026","Mustata_Fetal","Far1","FAR1"
"3027","Mustata_Fetal","Serpinb5","SERPINB5"
"3028","Mustata_Fetal","Ctsh","CTSH"
"3029","Mustata_Fetal","4930461G14Rik","4930461G14RIK"
"3030","Mustata_Fetal","Fam212b","FAM212B"
"3031","Mustata_Fetal","Akr1b10","AKR1B10"
"3032","Mustata_Fetal","Rab15","RAB15"
"3033","Mustata_Fetal","Zmat3","ZMAT3"
"3034","Mustata_Fetal","Ahnak","AHNAK"
"3035","Mustata_Fetal","Krt18","KRT18"
"3036","Mustata_Fetal","Dapk1","DAPK1"
"3037","Mustata_Fetal","Flot2","FLOT2"
"3038","Mustata_Fetal","Avpi1","AVPI1"
"3039","Mustata_Fetal","Rab11fip5","RAB11FIP5"
"3040","Mustata_Fetal","Tuba1","TUBA1"
"3041","Mustata_Fetal","Fam129b","FAM129B"
"3042","Mustata_Fetal","Mfsd4","MFSD4"
"3043","Mustata_Fetal","Paqr8","PAQR8"
"3044","Mustata_Fetal","Serpinb11","SERPINB11"
"3045","Mustata_Fetal","Prkar1a","PRKAR1A"
"3046","Mustata_Fetal","Lama3","LAMA3"
"3047","Mustata_Fetal","Tinagl1","TINAGL1"
"3048","Mustata_Fetal","Mcam","MCAM"
"3049","Mustata_Fetal","Nfe2l3","NFE2L3"
"3050","Mustata_Fetal","Sh3bgrl2","SH3BGRL2"
"3051","Mustata_Fetal","Lmna","LMNA"
"3052","Mustata_Fetal","Scmh1","SCMH1"
"3053","Mustata_Fetal","E130012A19Rik","E130012A19RIK"
"3054","Mustata_Fetal","Pdlim7","PDLIM7"
"3055","Mustata_Fetal","Foxq1","FOXQ1"
"3056","Mustata_Fetal","Gcnt3","GCNT3"
"3057","Mustata_Fetal","Akr1b3","AKR1B3"
"3058","Mustata_Fetal","Tmem43","TMEM43"
"3059","Mustata_Fetal","Mdm2","MDM2"
"3060","Mustata_Fetal","2210011C24Rik","2210011C24RIK"
"3061","Mustata_Fetal","Slfn2","SLFN2"
"3062","Mustata_Fetal","Gtse1","GTSE1"
"3063","Mustata_Fetal","Gpc1","GPC1"
"3064","Mustata_Fetal","Camsap2","CAMSAP2"
"3065","Mustata_Fetal","Hspb1","HSPB1"
"3066","Mustata_Fetal","Eps8l1","EPS8L1"
"3067","Mustata_Fetal","Ckap2","CKAP2"
"3068","Mustata_Fetal","Golga2","GOLGA2"
"3069","Mustata_Fetal","Adam9","ADAM9"
"3070","Mustata_Fetal","Plat","PLAT"
"3071","Mustata_Fetal","Wwc2","WWC2"
"3072","Mustata_Fetal","Prkcdbp","PRKCDBP"
"3073","Mustata_Fetal","Inf2","INF2"
"3074","Mustata_Fetal","Aim1","AIM1"
"3075","Mustata_Fetal","Mras","MRAS"
"3076","Mustata_Fetal","Tpm2","TPM2"
"3077","Mustata_Fetal","Chrnb1","CHRNB1"
"3078","Mustata_Fetal","Anxa5","ANXA5"
"3079","Mustata_Fetal","Ak1","AK1"
"3080","Mustata_Fetal","Vax1","VAX1"
"3081","Mustata_Fetal","Tead4","TEAD4"
"3082","Mustata_Fetal","Dyrk3","DYRK3"
"3083","Mustata_Fetal","4632434I11Rik","4632434I11RIK"
"3084","Mustata_Fetal","Itgb4","ITGB4"
"3085","Mustata_Fetal","Bax","BAX"
"3086","Mustata_Fetal","Arl1","ARL1"
"3087","Mustata_Fetal","Rhod","RHOD"
"3088","Mustata_Fetal","Fam64a","FAM64A"
"3089","Mustata_Fetal","Msantd3","MSANTD3"
"3090","Mustata_Fetal","Cd99l2","CD99L2"
"3091","Mustata_Fetal","Klrg2","KLRG2"
"3092","Mustata_Fetal","Clcf1","CLCF1"
"3093","Mustata_Fetal","Id2","ID2"
"3094","Mustata_Fetal","Sca10","SCA10"
"3095","Mustata_Fetal","Sgcb","SGCB"
